x_pos,y_pos,z_pos,x_angle,y_angle,bullet_x,bullet_y,bullet_z,body_x,body_y,body_z
243.09,8.0,18.5,0.0,0.0,243.0967,7.916074,61.04396,-5.004331342206569e-06,2.3498034806834767e-06,-1.747640610005874e-08
239.45,7.99,204.6,28.56,-0.71,257.3137,7.957045,238.1577,-2.385897096246481e-05,-6.483343440777389e-06,1.600826976755343e-06
218.83,8.0,48.06,0.0,0.0,218.7266,7.885491,90.60286,-4.3095116097902064e-07,-1.711298182272003e-06,1.3340211602042018e-08
280.1,7.98,136.32,348.92,1.49,269.8396,7.94003,187.9087,3.874518370139413e-06,1.113511530093092e-06,-1.1509265505083022e-06
89.53,8.0,230.88,0.0,0.0,89.494,7.911444,273.4232,-8.584840429648466e-07,1.7034619759215275e-06,1.4762068190066202e-07
215.72,7.97,125.4,348.94,0.66,207.1033,7.879339,171.6147,3.933646439691074e-06,-4.775669731316157e-05,-3.040327783310204e-06
104.65,8.0,253.63,0.0,0.0,104.2602,7.93364,296.169,-8.621320262136578e-07,1.0638643743732246e-06,3.5136864084961417e-07
55.78,7.99,175.25,343.16,0.61,42.24077,7.85851,220.2618,3.368438910911209e-06,-6.67010567667603e-07,1.8798206156134256e-06
179.17,8.0,113.2,0.0,0.0,179.1177,7.908245,155.7448,-3.868660769512644e-07,-3.501805423411497e-08,-1.2673199307755567e-06
69.3,7.99,157.3,0.25,-0.94,69.85341,7.875796,194.2261,-2.9452592116285814e-06,-9.839261110755615e-06,-7.144994373931013e-09
40.33,8.0,54.24,0.0,0.0,40.17603,7.884374,96.77971,-4.2021656554425135e-07,8.537212465853372e-07,-3.1599620342603885e-07
94.74,7.98,17.65,14.01,-3.74,100.7136,7.932842,41.46978,3.816180196736241e-06,-7.087895141921763e-07,-6.090170700190356e-06
57.31,8.0,234.23,0.0,0.0,57.43756,7.908398,276.7676,-9.037385098054074e-07,-1.7092298776333337e-06,-4.404470388408299e-08
198.88,7.98,41.69,26.07,1.94,224.1541,7.928936,91.56184,1.214009330396948e-06,-6.372715688485187e-08,1.1584310755097249e-07
227.97,8.0,256.09,0.0,0.0,228.1053,7.849648,298.6255,4.2547969769657357e-07,-1.7088626691474929e-06,-1.704512975209127e-08
187.34,7.99,172.01,347.35,-0.35,178.4275,7.917617,211.305,1.470758661525906e-06,-3.603858931455761e-05,5.3360398766244543e-08
95.49,8.0,64.7,0.0,0.0,95.8767,7.835915,108.3564,-6.802673397032777e-06,-3.355062744958559e-06,-4.268865154699597e-07
191.22,7.98,218.79,18.07,1.1,206.8789,7.850132,266.6503,-6.720964847772848e-06,-1.734227225824725e-05,1.867639696229162e-07
176.05,8.0,21.31,0.0,0.0,175.9975,7.886277,63.85437,4.044794366109272e-07,-8.13398673926713e-06,8.00412465196132e-08
208.49,7.97,116.38,344.2,-0.43,197.424,7.848559,155.1169,9.162850801658351e-06,-2.0820425561396405e-05,-2.294517571499455e-06
218.75,8.0,39.67,0.0,0.0,218.7386,7.888322,82.20674,3.5273018283987767e-07,-4.618540515366476e-06,2.08143632107749e-07
151.13,7.99,148.4,14.88,1.8,164.9689,7.875566,201.4547,-5.4795536925666966e-06,-2.554508319008164e-05,-1.280659148505947e-06
210.09,8.0,227.87,0.0,0.0,210.0469,7.928156,270.4066,-4.263031314621912e-06,-2.5713254672155017e-06,8.671146645156114e-08
91.86,8.0,86.76,357.94,0.12,90.2667,7.842113,130.3922,-3.43915780831594e-06,-1.7337890767521458e-06,5.396023539105954e-07
60.09,8.0,196.13,0.0,0.0,59.95163,7.913879,238.6747,4.054881173942704e-06,1.2877005701739108e-06,-1.4003520565353256e-09
179.04,7.99,221.23,327.98,0.68,154.1164,7.909001,261.0264,5.468406743602827e-05,-8.443615115538705e-06,-3.8826574382255785e-06
212.31,8.0,188.92,0.0,0.0,212.2801,7.883677,231.4562,-2.010576594102531e-07,-2.9593284125439823e-06,-1.6646535527797823e-07
190.92,8.0,22.03,0.0,0.0,191.058,7.920981,64.56695,2.334536297610157e-08,-5.127643817104399e-06,1.6008254988264525e-07
60.39,7.98,118.45,345.16,-1.45,51.30929,7.893924,151.9166,3.4842964851122815e-06,2.435922397125978e-05,2.828125388987246e-06
112.84,8.0,135.33,0.0,0.0,112.7412,7.927715,177.8698,-9.597111727543961e-08,1.4942629604774993e-06,-8.032945419955695e-10
73.48,8.0,40.29,0.0,0.0,73.73231,7.856741,82.82587,-1.0422043672519976e-08,-5.1337910917936824e-06,1.6008247882837168e-07
266.22,7.99,57.09,346.26,0.88,254.8105,7.895042,103.8442,3.4576162306620972e-06,7.25246991351014e-06,-1.3976293189443822e-07
48.64,8.0,162.62,0.0,0.0,48.60117,7.855669,205.159,-3.4946424420922995e-08,-1.3326340422281646e-06,9.87175894806569e-07
169.11,8.0,108.74,0.0,0.0,169.0635,7.894563,151.2816,4.2827585389204614e-07,8.324270766024711e-07,-7.632603882257172e-08
206.16,8.0,243.67,0.0,0.0,206.6525,7.877244,286.2125,-6.796838079026202e-06,-5.599553787760669e-06,3.3212966881954187e-13
116.56,7.98,13.98,354.56,2.25,111.2738,7.914865,71.91421,2.5671567982499255e-06,-1.6018454971344909e-06,6.670101981853804e-08
281.15,8.0,23.98,0.0,0.0,281.205,7.891577,66.5201,-3.83030737793888e-06,-4.704091224994045e-06,2.134434851086553e-07
169.22,8.0,75.24,13.19,1.81,181.6201,7.85864,129.7973,-1.0758100188468234e-06,-1.4336673302750569e-05,3.0659117555842386e-07
234.65,8.0,12.68,0.0,0.0,234.6735,7.842443,56.33889,-4.19829973452579e-07,-4.146214394040726e-07,-3.4491716860429733e-07
165.92,7.97,95.01,343.46,1.36,151.2344,7.923148,144.3446,1.0226549420622177e-05,-1.4475860552920494e-05,-1.5623453464286285e-06
181.23,8.0,200.3,0.0,0.0,181.2531,7.906652,242.8356,-4.389764853840461e-07,2.3537143079011003e-06,3.201651850304188e-07
140.69,7.97,222.76,357.91,1.59,138.6293,7.884832,276.4442,8.562226412323071e-07,-3.4551144381111953e-06,8.671134565929606e-08
191.66,8.0,231.45,0.0,0.0,191.8407,7.883376,273.9925,4.335570125135746e-08,-5.999758741381811e-06,-4.93587720029609e-07
166.46,8.0,83.05,5.41,-3.53,168.9854,7.90985,108.6129,-2.221145678049652e-06,1.3440266002362478e-06,1.1472584446892142e-06
95.59,8.0,77.25,0.0,0.0,95.96065,7.8765,119.7921,-3.86506781069329e-06,-1.0747676242317539e-06,3.927317493435112e-08
102.74,8.0,179.17,339.73,0.09,87.73952,7.841652,220.1442,-1.8042636611426133e-06,-2.125231503669056e-06,1.4941036852178513e-06
67.77,8.0,103.46,0.0,0.0,68.20369,7.862939,146.0008,-4.246408025210258e-06,-5.0663811634876765e-06,2.1950729234276878e-08
181.93,7.98,251.64,345.94,-3.02,175.2023,7.839501,278.7479,1.0181917787122075e-05,-2.534642078444449e-07,1.7609081623959355e-06
161.37,8.0,220.17,0.0,0.0,161.0318,7.884267,262.7094,2.8856538847321644e-06,-2.130160282831639e-06,5.0025725784053066e-08
40.61,7.99,166.03,335.44,-3.32,29.77082,7.855422,190.5199,1.300670646742219e-06,-4.268868451617891e-06,5.122642050991999e-06
101.36,8.0,179.08,0.0,0.0,101.3192,7.83511,221.6246,-1.238138111148146e-06,-7.287088919838425e-06,-2.267834702252003e-07
